29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Gastos Varios - Propinas,,13/01/2026,Sin comprobante,0,"$7.990,00","$0,00","$7.990,00",  -   ,13/01/2026,13/01/2026,"$7.990,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Nueve Seis Nueve,,13/01/2026,Remito,0200001-00070147,"$30.149,98","$0,00","$30.149,98",  -   ,13/01/2026,13/01/2026,"$30.149,98","$0,00",PAGADO,Efectivo Local,,CMV
Carnicerías Integradas,"12,6%",13/01/2026,Factura A,0008-00064881,"$419.644,00","$52.875,14","$366.768,86",  10 ,23/01/2026,28/01/2026,"$419.644,00","$0,00",PAGADO,Transferencia,,CMV
Congelados Ros,"21,0%",13/01/2026,Factura A,0005-00002751,"$36.000,00","$7.560,00","$28.440,00",  7 ,20/01/2026,21/01/2026,"$36.000,00","$0,00",PAGADO,Transferencia,,CMV
Hielo Rosario,,13/01/2026,Remito,24081,"$48.000,00","$0,00","$48.000,00",  -   ,13/01/2026,13/01/2026,"$48.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Propinas,,13/01/2026,Sin comprobante,0,"$9.000,00","$0,00","$9.000,00",  -   ,13/01/2026,13/01/2026,"$9.000,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",14/01/2026,Factura A,0002-00078784,"$177.590,30","$18.646,98","$158.943,32",  60 ,15/03/2026,12/02/2026,"$177.590,30","$0,00",PAGADO,Cheque,,CMV
Nunzio,"21,0%",14/01/2026,Factura A,0005-00072530,"$121.550,00","$25.525,50","$96.024,50",  7 ,21/01/2026,21/01/2026,"$121.550,00","$0,00",PAGADO,Transferencia,,CMV
Agustín Ariel Pujol,"10,5%",14/01/2026,Remito,7493173,"$112.000,00","$0,00","$112.000,00",  30 ,13/02/2026,17/04/2026,"$112.000,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Mantenimiento Local,,14/01/2026,Sin comprobante,0,"$140.000,00","$0,00","$140.000,00",  -   ,14/01/2026,14/01/2026,"$140.000,00","$0,00",PAGADO,Efectivo Local,ALQUILER ANDAMIO,Mantenimiento
Gastos Varios - Propinas,,14/01/2026,Sin comprobante,0,"$13.310,00","$0,00","$13.310,00",  -   ,14/01/2026,14/01/2026,"$13.310,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Gastos Varios - Art. de Librería e imprenta,,14/01/2026,Ticket CF,34143,"$17.200,00","$0,00","$17.200,00",  -   ,14/01/2026,14/01/2026,"$17.200,00","$0,00",PAGADO,Efectivo Local,ESCANEO IMPRESIONES COLOR QR PLASTIFICADOS,Artículos de librería / Impresiones
Gastos Varios - Descartables y Limpieza,,14/01/2026,Sin comprobante,0,"$4.000,00","$0,00","$4.000,00",  -   ,14/01/2026,14/01/2026,"$4.000,00","$0,00",PAGADO,Efectivo Local,SORBETES PLASTICOS,"Limpieza, Descartables y Bazar"
