29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
La Distribuidora,"18,9%",10/10/2025,Factura A,6515,"$310.266,32","$58.640,33","$251.625,99",  15 ,25/10/2025,19/11/2025,"$310.266,32","$0,00",PAGADO,Posnet Proveedor,"44720,56 el 19/11",CMV
La Distribuidora,"18,9%",4/10/2025,Factura A,6435,"$62.650,40","$11.840,93","$50.809,47",  15 ,19/10/2025,15/10/2025,"$62.650,40","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Descartables y Limpieza,,14/10/2025,Remito,,"$60.000,00","$0,00","$60.000,00",  -   ,14/10/2025,14/10/2025,"$60.000,00","$0,00",PAGADO,,,"Limpieza, Descartables y Bazar"
Rosario Gas,"21,0%",15/10/2025,Remito,,"$136.000,00","$0,00","$136.000,00",  -   ,15/10/2025,15/10/2025,"$136.000,00","$0,00",PAGADO,,,"Servicios, Seguros & Tasas"
Gastos Varios - Stock Mercadería Local,,13/10/2025,Sin comprobante,,"$30.660,00","$0,00","$30.660,00",  -   ,13/10/2025,13/10/2025,"$30.660,00","$0,00",PAGADO,,,CMV
Gastos Varios - Stock Mercadería Local,,9/10/2025,Ticket CF,460479,"$22.014,00","$0,00","$22.014,00",  -   ,9/10/2025,9/10/2025,"$22.014,00","$0,00",PAGADO,,,CMV
Gastos Varios - Stock Mercadería Local,,10/10/2025,Ticket CF,183205,"$49.200,00","$0,00","$49.200,00",  -   ,10/10/2025,10/10/2025,"$49.200,00","$0,00",PAGADO,,,CMV
Gastos Varios - Stock Mercadería Local,,12/10/2025,Factura B,21062,"$5.200,00","$0,00","$5.200,00",  -   ,12/10/2025,12/10/2025,"$5.200,00","$0,00",PAGADO,,,CMV
Focacceria Marzano,,10/10/2025,Sin comprobante,,"$90.000,00","$0,00","$90.000,00",  7 ,17/10/2025,10/10/2025,"$90.000,00","$0,00",PAGADO,,,CMV
Focacceria Marzano,,15/10/2025,Sin comprobante,,"$54.000,00","$0,00","$54.000,00",  7 ,22/10/2025,15/10/2025,"$54.000,00","$0,00",PAGADO,,,CMV
Nueve Seis Nueve,,9/10/2025,Remito,65591,"$9.029,98","$0,00","$9.029,98",  -   ,9/10/2025,9/10/2025,"$9.029,98","$0,00",PAGADO,,,CMV
Nueve Seis Nueve,,10/10/2025,Remito,65634,"$27.089,96","$0,00","$27.089,96",  -   ,10/10/2025,10/10/2025,"$27.089,96","$0,00",PAGADO,,,CMV
Gastos Varios - Stock Mercadería Local,,9/10/2025,Remito,3902,"$90.000,00","$0,00","$90.000,00",  -   ,9/10/2025,9/10/2025,"$90.000,00","$0,00",PAGADO,,,CMV
Gastos Varios - Stock Mercadería Local,,10/10/2025,Remito,3903,"$72.000,00","$0,00","$72.000,00",  -   ,10/10/2025,10/10/2025,"$72.000,00","$0,00",PAGADO,,,CMV
Masa Mia,,11/10/2025,Remito,3904,"$81.000,00","$0,00","$81.000,00",  -   ,11/10/2025,11/10/2025,"$81.000,00","$0,00",PAGADO,,,CMV
CCU,"21,0%",13/10/2025,Factura A,987501,"$1.689.942,25","$354.887,87","$1.335.054,38",  -   ,13/10/2025,13/10/2025,"$1.689.942,25","$0,00",PAGADO,,,CMV
Nueve Seis Nueve,,15/10/2025,Remito,65848,"$38.759,97","$0,00","$38.759,97",  -   ,15/10/2025,15/10/2025,"$38.759,97","$0,00",PAGADO,,,CMV
