Mes del Gasto,COSTOS FIJOS / OTROS GASTOS,Comentario / Proveedor,LOCAL - ADM CENTRAL,Importe,Check %, %, MORENO,%,VIA VIEJA,%,COLEGIO,%,GG2,%,GG4, MONTO PAGO,FECHA PAGO,FORMA PAGO,Saldo a Pagar,Linea P&L
Marzo,Autónomos,,ADM Central," $  292.000,0 ",0%,20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 ",20%," $  58.400,0 "," $  292.000,0 ",10/3/2026,DB.Aut.Local, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Agua Locales,,MORENO," $  272.853,0 ",0%,100%," $  272.853,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  272.853,0 ",10/3/2026,DB.Aut.Local, $  -   ,"Servicios, Seguros & Tasas"
Abril,Agua Locales,,MORENO," $  272.853,0 ",0%,100%," $  272.853,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  272.853,0 ","Servicios, Seguros & Tasas"
Marzo,Luz Locales,,VIA VIEJA," $  1.141.337,0 ",0%,, $  -   ,100%," $  1.141.337,0 ",, $  -   ,, $  -   ,, $  -   ," $  1.141.337,0 ",,, $  -   ,"Servicios, Seguros & Tasas"
Abril,Luz Locales,,VIA VIEJA," $  1.141.337,0 ",0%,, $  -   ,100%," $  1.141.337,0 ",, $  -   ,, $  -   ,, $  -   ," $  1.152.000,0 ",27/4/2026,Transferencia,"-$  10.663,0 ","Servicios, Seguros & Tasas"
Marzo,Gas Locales,,VIA VIEJA," $  107.450,0 ",0%,, $  -   ,100%," $  107.450,0 ",, $  -   ,, $  -   ,, $  -   ," $  107.450,0 ",,, $  -   ,"Servicios, Seguros & Tasas"
Abril,Gas Locales,,VIA VIEJA," $  104.908,0 ",0%,, $  -   ,100%," $  104.908,0 ",, $  -   ,, $  -   ,, $  -   ,,,," $  104.908,0 ","Servicios, Seguros & Tasas"
Marzo,Internet Locales,claro,MORENO," $  15.000,0 ",0%,100%," $  15.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  15.000,0 ",7/4/2026,Transferencia, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Internet Locales,nubenet,MORENO," $  19.173,6 ",0%,100%," $  19.173,6 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  19.173,6 ",,,"-$  0,0 ","Servicios, Seguros & Tasas"
Marzo,Internet Locales,,COLEGIO," $  19.173,0 ",0%,, $  -   ,, $  -   ,100%," $  19.173,0 ",, $  -   ,, $  -   ," $  19.173,0 ",,, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Maxirest,,VIA VIEJA," $  77.024,7 ",0%,, $  -   ,100%," $  77.024,7 ",, $  -   ,, $  -   ,, $  -   ," $  93.200,0 ",6/3/2026,DB.Aut.Local,"-$  16.175,3 ","Servicios, Seguros & Tasas"
Marzo,Maxirest,,COLEGIO," $  77.024,7 ",0%,, $  -   ,, $  -   ,100%," $  77.024,7 ",, $  -   ,, $  -   ,,,," $  77.024,7 ","Servicios, Seguros & Tasas"
Marzo,Maxirest,,GG2," $  77.024,7 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  77.024,7 ",, $  -   ,,,," $  77.024,7 ","Servicios, Seguros & Tasas"
Marzo,Maxirest,,MORENO," $  105.053,0 ",0%,100%," $  105.053,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  127.115,0 ",12/3/2026,,"-$  22.062,0 ","Servicios, Seguros & Tasas"
Marzo,Maxirest,,GG4," $  65.454,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  65.454,0 ",,,," $  65.454,0 ","Servicios, Seguros & Tasas"
Marzo,Alarma,,MORENO," $  41.983,0 ",0%,100%," $  41.983,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  58.800,0 ",9/3/2026,DB.Aut.Local,"-$  16.817,0 ","Servicios, Seguros & Tasas"
Marzo,Gastos Mantenimiento Locales ,herreria,GG4," $  220.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  220.000,0 "," $  220.000,0 ",26/3/2026,MP, $  -   ,Mantenimiento
Marzo,Eventos,,MORENO," $  70.000,0 ",0%,100%," $  70.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  70.000,0 ",26/3/2026,MP, $  -   ,Eventos
Marzo,Eventos,vasos byebye sumer,GG2," $  575.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  575.000,0 ",, $  -   ," $  575.000,0 ",26/3/2026,MP, $  -   ,Eventos
Marzo,DreI - Habilitaciones - Multas,control urbano,GG4," $  194.639,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  194.639,0 "," $  194.639,0 ",27/3/2026,MP, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Autónomos,debito plan,ADM Central,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  124.700,0 ",18/3/2026,DB.Aut.Local,"-$  124.700,0 ","Servicios, Seguros & Tasas"
Marzo,AFIP IVA,pago DDJJ octubre 25,ADM Central,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  208.699,0 ",31/3/2026,Transferencia,"-$  208.699,0 ",IVA
Marzo,AFIP IVA,pago DDJJ diciembre 25,ADM Central,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  91.658,0 ",31/3/2026,Transferencia,"-$  91.658,0 ",IVA
Marzo,Eventos,ARTISTICA,VIA VIEJA," $  162.500,0 ",0%,, $  -   ,100%," $  162.500,0 ",, $  -   ,, $  -   ,, $  -   ," $  162.500,0 ",31/3/2026,Transferencia, $  -   ,Eventos
Marzo,Alquiler Locales,canon,VIA VIEJA," $  602.105,0 ",0%,, $  -   ,100%," $  602.105,0 ",, $  -   ,, $  -   ,, $  -   ," $  602.105,0 ",31/3/2026,DB.Aut.Local, $  -   ,Alquileres & Expensas
Marzo,Ropa de trabajo (remeras y delantales),ciclo moreno,MORENO," $  750.000,0 ",0%,100%," $  750.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  750.000,0 ",17/4/2026,Transferencia, $  -   ,Gastos personal
Marzo,TGI,,VIA VIEJA," $  55.703,0 ",0%,, $  -   ,100%," $  55.703,0 ",, $  -   ,, $  -   ,, $  -   ," $  55.703,0 ",12/03,DB.Aut.Local, $  -   ,"Servicios, Seguros & Tasas"
Marzo,TGI,,MORENO," $  235.185,0 ",0%,100%," $  235.185,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  235.185,0 ","Servicios, Seguros & Tasas"
Marzo,TGI,,GG4," $  64.333,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  64.333,0 ",,,," $  64.333,0 ","Servicios, Seguros & Tasas"
Abril,Alquiler Locales,1R MES CON AUMENTO,MORENO," $  1.400.000,0 ",0%,100%," $  1.400.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  1.400.000,0 ",Alquileres & Expensas
